TimeStamp,Scene,Event,Interaction
1720687901415,SampleScene,none,none,
1720687901431,SampleScene,none,none,
1720687901444,SampleScene,none,none,
1720687901458,SampleScene,none,none,
1720687901471,SampleScene,none,none,
1720687901485,SampleScene,none,none,
1720687901499,SampleScene,none,none,
1720687901513,SampleScene,none,none,
1720687901527,SampleScene,none,none,
1720687901540,SampleScene,none,none,
1720687901554,SampleScene,none,none,
1720687901568,SampleScene,none,none,
1720687901582,SampleScene,none,none,
1720687901596,SampleScene,none,none,
1720687901610,SampleScene,none,none,
1720687901624,SampleScene,none,none,
1720687901638,SampleScene,none,none,
1720687901652,SampleScene,none,none,
1720687901667,SampleScene,none,none,
1720687901680,SampleScene,none,none,
1720687901694,SampleScene,none,none,
1720687901709,SampleScene,none,none,
1720687901720,SampleScene,none,none,
1720687901735,SampleScene,none,none,
1720687901748,SampleScene,none,none,
1720687901764,SampleScene,none,none,
1720687901777,SampleScene,none,none,
1720687901791,SampleScene,none,none,
1720687901805,SampleScene,none,none,
1720687901818,SampleScene,none,none,
1720687901833,SampleScene,none,none,
1720687901847,SampleScene,none,none,
1720687901862,SampleScene,none,none,
1720687901875,SampleScene,none,none,
1720687901888,SampleScene,none,none,
1720687901901,SampleScene,none,none,
1720687901916,SampleScene,none,none,
1720687901931,SampleScene,none,none,
1720687901944,SampleScene,none,none,
1720687901966,SampleScene,none,none,
1720687901974,SampleScene,none,none,
1720687901989,SampleScene,none,none,
1720687902001,SampleScene,none,none,
1720687902016,SampleScene,none,none,
1720687902030,SampleScene,none,none,
1720687902045,SampleScene,none,none,
1720687902056,SampleScene,none,none,
1720687902069,SampleScene,none,none,
1720687902084,SampleScene,none,none,
1720687902097,SampleScene,none,none,
1720687902111,SampleScene,none,none,
1720687902124,SampleScene,none,none,
1720687902138,SampleScene,none,none,
1720687902151,SampleScene,none,none,
1720687902164,SampleScene,none,none,
1720687902178,SampleScene,none,none,
1720687902193,SampleScene,none,none,
1720687902207,SampleScene,none,none,
