TimeStamp,Event,Interaction
1712924978751,none,Plane,
1712924978766,none,Plane,
1712924978780,none,Plane,
1712924978794,none,Plane,
1712924978807,none,Plane,
1712924978822,none,Plane,
1712924978835,none,Plane,
1712924978849,none,Plane,
1712924978864,none,Plane,
1712924978878,none,Plane,
1712924978891,none,Plane,
1712924978905,none,Plane,
1712924978919,none,Plane,
1712924978933,none,Plane,
1712924978947,none,Plane,
1712924978961,none,Plane,
1712924978974,none,Plane,
1712924978988,none,Plane,
1712924979003,none,Plane,
1712924979017,none,Plane,
1712924979031,none,Plane,
1712924979044,none,Plane,
1712924979058,none,Plane,
1712924979073,none,Plane,
1712924979086,none,Plane,
1712924979100,none,Plane,
1712924979114,none,Plane,
1712924979128,none,Plane,
1712924979142,none,Plane,
1712924979155,none,Plane,
1712924979170,none,Plane,
1712924979184,none,Plane,
1712924979197,none,Plane,
1712924979211,none,Plane,
1712924979226,none,Plane,
1712924979240,none,Plane,
1712924979254,none,Plane,
1712924979267,none,Plane,
1712924979281,none,Plane,
1712924979295,none,Plane,
1712924979309,none,Plane,
1712924979324,none,none,
1712924979337,none,none,
1712924979350,none,none,
1712924979364,none,none,
1712924979379,none,none,
1712924979392,none,none,
1712924979406,none,none,
1712924979420,none,none,
1712924979436,none,Plane,
1712924979448,none,Plane,
1712924979463,none,Plane,
1712924979476,none,Plane,
1712924979490,none,Plane,
1712924979505,none,Plane,
1712924979519,none,Plane,
1712924979533,none,Plane,
1712924979545,none,Plane,
1712924979560,none,Plane,
1712924979574,none,Plane,
1712924979588,none,Plane,
1712924979601,none,Plane,
1712924979616,none,Plane,
1712924979630,none,Plane,
1712924979644,none,Plane,
1712924979657,none,Plane,
1712924979671,none,Plane,
1712924979686,none,Plane,
1712924979699,none,Plane,
1712924979713,none,Plane,
1712924979727,none,Plane,
1712924979741,none,Plane,
1712924979755,none,Plane,
1712924979769,none,Plane,
1712924979783,none,Plane,
1712924979797,none,Plane,
1712924979811,none,Plane,
1712924979824,none,Plane,
1712924979838,none,Plane,
1712924979852,none,Plane,
1712924979866,none,Plane,
1712924979881,none,Plane,
1712924979894,none,Plane,
1712924979909,none,Plane,
1712924979922,none,Plane,
1712924979936,none,Plane,
1712924979950,none,Plane,
1712924979964,none,Plane,
1712924979978,none,Plane,
1712924979993,none,Plane,
1712924980005,none,Plane,
1712924980020,none,Plane,
1712924980034,none,Plane,
1712924980047,none,Plane,
1712924980062,none,Plane,
1712924980075,none,Plane,
1712924980089,none,Plane,
1712924980103,none,Plane,
1712924980117,none,Plane,
1712924980131,none,Plane,
1712924980145,none,Plane,
1712924980159,none,Plane,
1712924980173,none,Plane,
1712924980186,none,Plane,
1712924980200,none,Plane,
1712924980214,none,Plane,
1712924980227,none,Plane,
1712924980242,none,Plane,
1712924980255,none,Plane,
1712924980269,none,Plane,
1712924980283,none,Plane,
1712924980297,none,Plane,
1712924980310,none,Plane,
1712924980324,none,Plane,
1712924980338,none,Plane,
1712924980352,none,Plane,
1712924980365,none,Plane,
1712924980380,none,Plane,
1712924980394,none,Plane,
1712924980408,none,Plane,
1712924980421,none,Plane,
1712924980436,none,Plane,
1712924980449,none,Plane,
1712924980464,none,Plane,
1712924980477,none,Plane,
1712924980491,none,Plane,
1712924980505,none,Plane,
1712924980518,none,Plane,
1712924980533,none,Plane,
1712924980546,none,Plane,
1712924980561,none,Plane,
1712924980575,none,Plane,
1712924980588,none,Plane,
1712924980602,none,Plane,
1712924980616,none,Plane,
1712924980630,none,Plane,
1712924980644,none,Plane,
1712924980658,none,Plane,
1712924980672,none,Plane,
1712924980685,none,Plane,
1712924980700,none,Plane,
1712924980713,none,Plane,
1712924980727,none,Plane,
1712924980741,none,Plane,
1712924980756,none,Plane,
1712924980769,none,Plane,
1712924980782,none,Plane,
1712924980797,none,Plane,
1712924980811,none,Plane,
1712924980824,none,Plane,
1712924980839,none,Plane,
1712924980852,none,Plane,
1712924980866,none,Plane,
1712924980880,none,Plane,
1712924980895,none,Plane,
1712924980908,none,Plane,
1712924980922,none,Plane,
1712924980936,none,Plane,
1712924980950,none,Plane,
1712924980964,none,Plane,
1712924980978,none,Plane,
1712924980991,none,Plane,
1712924981006,none,Plane,
1712924981020,none,Plane,
1712924981034,none,Plane,
1712924981047,none,Plane,
1712924981061,none,Plane,
1712924981075,none,Plane,
1712924981089,none,Plane,
1712924981103,none,Plane,
1712924981117,none,Plane,
1712924981131,none,Plane,
1712924981145,none,Plane,
1712924981159,none,Plane,
1712924981173,none,Plane,
1712924981187,none,Plane,
1712924981201,none,Plane,
1712924981214,none,Plane,
1712924981228,none,Plane,
1712924981242,none,Plane,
1712924981257,none,Plane,
1712924981270,none,Plane,
1712924981284,none,Plane,
1712924981298,none,Plane,
1712924981312,none,Plane,
1712924981326,none,Plane,
1712924981340,none,Plane,
1712924981354,none,Plane,
1712924981367,none,Plane,
1712924981382,none,Plane,
1712924981395,none,Plane,
1712924981409,none,Plane,
1712924981424,none,Plane,
1712924981438,none,Plane,
1712924981451,none,none,
1712924981465,none,none,
1712924981479,none,none,
1712924981493,none,none,
1712924981506,none,none,
1712924981521,none,none,
1712924981534,none,none,
1712924981549,none,none,
1712924981562,none,none,
1712924981576,none,none,
1712924981591,none,none,
1712924981604,none,none,
1712924981619,none,none,
1712924981633,none,none,
1712924981647,none,none,
1712924981660,none,none,
1712924981674,none,none,
1712924981688,none,none,
1712924981702,none,none,
1712924981716,none,none,
1712924981730,none,none,
1712924981744,none,none,
1712924981758,none,none,
1712924981771,none,none,
1712924981785,none,none,
1712924981800,none,none,
1712924981814,none,none,
1712924981827,none,none,
1712924981842,none,none,
1712924981855,none,none,
1712924981869,none,none,
1712924981883,none,none,
1712924981897,none,none,
1712924981911,none,none,
1712924981925,none,none,
1712924981939,none,none,
1712924981952,none,none,
1712924981967,none,none,
1712924981981,none,none,
1712924981995,none,none,
1712924982008,none,none,
1712924982023,none,none,
1712924982036,none,none,
1712924982051,none,none,
1712924982064,none,none,
1712924982078,none,none,
1712924982092,none,none,
1712924982106,none,none,
1712924982120,none,none,
1712924982134,none,none,
1712924982148,none,none,
1712924982161,none,none,
1712924982176,none,none,
1712924982190,none,none,
1712924982203,none,none,
1712924982217,none,none,
1712924982231,none,none,
1712924982246,none,none,
1712924982260,none,none,
1712924982272,none,none,
1712924982286,none,none,
1712924982302,none,none,
1712924982315,none,none,
1712924982329,none,none,
1712924982342,none,none,
1712924982357,none,none,
1712924982371,none,none,
1712924982385,none,none,
1712924982398,none,none,
1712924982412,none,none,
1712924982426,none,none,
1712924982440,none,none,
1712924982454,none,Plane,
1712924982468,none,Plane,
1712924982482,none,Plane,
1712924982495,none,Plane,
1712924982509,none,Plane,
1712924982524,none,Plane,
1712924982538,none,Plane,
1712924982552,none,Plane,
1712924982565,none,Plane,
1712924982579,none,Plane,
1712924982593,none,Plane,
1712924982607,none,Plane,
1712924982620,none,Plane,
1712924982634,none,Plane,
1712924982649,none,Plane,
1712924982663,none,Plane,
1712924982677,none,Plane,
1712924982690,none,Plane,
1712924982705,none,Plane,
1712924982719,none,Plane,
1712924982732,none,Plane,
1712924982746,none,Plane,
1712924982760,none,Plane,
1712924982774,none,Plane,
1712924982787,none,Plane,
1712924982802,none,Plane,
1712924982816,none,Plane,
1712924982830,none,Plane,
1712924982844,none,Plane,
1712924982858,none,Plane,
1712924982871,none,Plane,
1712924982886,none,Plane,
1712924982900,none,Plane,
1712924982913,none,Plane,
1712924982927,none,Plane,
1712924982941,none,Plane,
1712924982955,none,Plane,
1712924982968,none,Plane,
1712924982983,none,Plane,
1712924982997,none,Plane,
1712924983010,none,Plane,
1712924983024,none,Plane,
1712924983039,none,Plane,
1712924983052,none,Plane,
1712924983066,none,Plane,
1712924983080,none,Plane,
1712924983094,none,Plane,
1712924983108,none,Plane,
1712924983123,none,Plane,
1712924983137,none,Plane,
1712924983149,none,Plane,
1712924983164,none,Plane,
1712924983178,none,Plane,
1712924983191,none,Plane,
1712924983205,none,Plane,
1712924983220,none,Plane,
1712924983234,none,Plane,
1712924983247,none,Plane,
1712924983261,none,Plane,
1712924983275,none,Plane,
1712924983289,none,Plane,
1712924983303,none,Plane,
1712924983318,none,Plane,
1712924983330,none,Plane,
1712924983345,none,Plane,
1712924983358,none,Plane,
1712924983373,none,Plane,
1712924983387,none,Plane,
1712924983401,none,Plane,
1712924983414,none,Plane,
1712924983428,none,Plane,
1712924983442,none,Plane,
1712924983456,none,Plane,
1712924983470,none,Plane,
1712924983484,none,Plane,
1712924983498,none,Plane,
1712924983513,none,Plane,
1712924983526,none,Plane,
1712924983540,none,Plane,
1712924983554,none,Plane,
1712924983568,none,Plane,
1712924983582,none,Plane,
1712924983596,none,Plane,
1712924983609,none,Plane,
1712924983624,none,Plane,
1712924983638,none,Plane,
1712924983653,none,none,
1712924983666,none,none,
1712924983680,none,none,
1712924983694,none,none,
1712924983708,none,none,
1712924983722,none,none,
1712924983735,none,none,
1712924983749,none,none,
1712924983763,none,none,
1712924983777,none,none,
1712924983791,none,none,
1712924983805,none,none,
1712924983819,none,none,
1712924983833,none,none,
1712924983846,none,none,
1712924983860,none,none,
1712924983874,none,none,
1712924983888,none,none,
1712924983902,none,none,
1712924983916,none,none,
1712924983930,none,none,
1712924983944,none,none,
1712924983957,none,none,
1712924983972,none,none,
1712924983985,none,none,
1712924983999,none,none,
1712924984014,none,none,
1712924984028,none,none,
1712924984041,none,none,
1712924984056,none,none,
1712924984069,none,none,
1712924984084,none,none,
1712924984097,none,none,
1712924984111,none,none,
1712924984125,none,none,
1712924984139,none,none,
1712924984153,none,none,
1712924984167,none,none,
1712924984181,none,none,
1712924984194,none,none,
1712924984208,none,none,
1712924984222,none,none,
1712924984236,none,none,
1712924984250,none,none,
1712924984265,none,none,
1712924984278,none,none,
1712924984291,none,none,
1712924984306,none,none,
1712924984320,none,none,
1712924984333,none,none,
1712924984348,none,none,
1712924984362,none,none,
1712924984376,none,none,
1712924984388,none,none,
1712924984403,none,none,
1712924984417,none,none,
1712924984431,none,none,
1712924984444,none,none,
1712924984459,none,none,
1712924984474,none,none,
1712924984487,none,none,
1712924984501,none,none,
1712924984515,none,none,
1712924984528,none,none,
1712924984542,none,none,
1712924984556,none,none,
1712924984571,none,none,
1712924984584,none,none,
1712924984598,none,none,
1712924984612,none,none,
1712924984626,none,none,
1712924984640,none,none,
1712924984654,none,none,
1712924984667,none,none,
1712924984682,none,none,
1712924984695,none,none,
1712924984709,none,none,
1712924984724,none,none,
1712924984737,none,none,
1712924984751,none,none,
1712924984765,none,none,
1712924984779,none,none,
1712924984793,none,none,
1712924984807,none,none,
1712924984820,none,none,
1712924984835,none,none,
1712924984848,none,none,
1712924984863,none,none,
1712924984877,none,none,
1712924984890,none,none,
1712924984905,none,none,
1712924984918,none,none,
1712924984933,none,none,
1712924984946,none,none,
1712924984961,none,none,
1712924984974,none,none,
1712924984988,none,none,
1712924985002,none,none,
1712924985015,none,none,
1712924985030,none,none,
1712924985044,none,none,
1712924985058,none,none,
1712924985071,none,none,
1712924985086,none,none,
1712924985100,none,none,
1712924985114,none,none,
1712924985127,none,none,
1712924985141,none,none,
1712924985156,none,none,
1712924985169,none,none,
1712924985183,none,none,
1712924985197,none,none,
1712924985211,none,none,
1712924985225,none,none,
1712924985239,none,none,
1712924985253,none,none,
1712924985267,none,none,
1712924985280,none,none,
1712924985295,none,none,
1712924985308,none,none,
1712924985322,none,none,
1712924985336,none,none,
1712924985350,none,none,
1712924985364,none,none,
1712924985378,none,none,
1712924985392,none,none,
1712924985406,none,none,
1712924985420,none,none,
1712924985434,none,none,
1712924985448,none,none,
1712924985462,none,none,
1712924985475,none,none,
1712924985490,none,none,
1712924985504,none,none,
1712924985517,none,none,
1712924985531,none,none,
1712924985545,none,none,
1712924985559,none,none,
1712924985573,none,none,
1712924985587,none,none,
1712924985602,none,none,
1712924985615,none,none,
1712924985629,none,none,
1712924985643,none,none,
1712924985657,none,none,
1712924985670,none,none,
1712924985685,none,none,
1712924985699,none,none,
1712924985712,none,none,
1712924985726,none,none,
1712924985740,none,none,
1712924985755,none,none,
1712924985768,none,none,
1712924985782,none,none,
1712924985797,none,none,
1712924985810,none,none,
1712924985824,none,none,
1712924985838,none,none,
1712924985852,none,none,
1712924985865,none,none,
1712924985880,none,none,
1712924985894,none,none,
1712924985907,none,none,
1712924985921,none,none,
1712924985936,none,none,
1712924985949,none,none,
1712924985964,none,none,
1712924985977,none,none,
1712924985992,none,none,
1712924986005,none,none,
1712924986019,none,none,
1712924986033,none,none,
1712924986046,none,none,
1712924986061,none,none,
1712924986075,none,none,
1712924986088,none,none,
1712924986103,none,none,
1712924986117,none,none,
1712924986131,none,none,
1712924986144,none,none,
1712924986159,none,none,
1712924986172,none,none,
1712924986187,none,none,
1712924986200,none,none,
1712924986215,none,none,
1712924986227,none,none,
1712924986242,none,none,
1712924986256,none,none,
1712924986270,none,none,
1712924986284,none,none,
1712924986298,none,none,
1712924986312,none,none,
1712924986325,none,none,
1712924986340,none,none,
1712924986353,none,none,
1712924986367,none,none,
1712924986380,none,none,
1712924986395,none,none,
1712924986409,none,none,
1712924986422,none,none,
1712924986436,none,none,
1712924986450,none,none,
1712924986464,none,none,
1712924986478,none,none,
1712924986492,none,none,
1712924986506,none,none,
1712924986520,none,none,
1712924986534,none,none,
1712924986548,none,none,
1712924986562,none,none,
1712924986576,none,none,
1712924986590,none,none,
1712924986603,none,none,
1712924986617,none,none,
1712924986632,none,none,
1712924986645,none,none,
1712924986659,none,none,
1712924986673,none,none,
1712924986687,none,none,
1712924986701,none,none,
1712924986715,none,none,
1712924986729,none,none,
1712924986759,none,none,
1712924986771,none,none,
1712924986784,none,none,
1712924986798,none,none,
1712924986812,none,none,
1712924986826,none,none,
1712924986840,none,none,
1712924986854,none,none,
1712924986867,none,none,
1712924986882,none,none,
1712924986895,none,none,
1712924986909,none,none,
1712924986948,none,none,
1712924986966,none,none,
1712924986980,none,none,
1712924986993,none,none,
1712924987007,none,none,
1712924987021,none,none,
1712924987035,none,none,
1712924987049,none,none,
1712924987063,none,none,
1712924987106,none,none,
