TimeStamp,Event,Interaction
1712924054861,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054875,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054889,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054903,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054918,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054932,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054944,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054959,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054973,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054987,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055000,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055014,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055029,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055043,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055057,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055070,none,none,
1712924055084,none,none,
1712924055098,none,none,
1712924055112,none,none,
1712924055125,none,none,
1712924055141,none,none,
1712924055154,none,none,
1712924055168,none,none,
1712924055181,none,none,
1712924055195,none,none,
1712924055210,none,none,
1712924055223,none,none,
1712924055237,none,none,
1712924055252,none,none,
1712924055265,none,none,
1712924055279,none,none,
1712924055293,none,none,
1712924055306,none,none,
1712924055321,none,none,
1712924055335,none,none,
1712924055348,none,none,
1712924055363,none,none,
1712924055376,none,none,
1712924055390,none,none,
1712924055404,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055418,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055433,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055447,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055460,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055474,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055488,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055502,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055516,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055530,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055543,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055557,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055572,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055586,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055600,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055613,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055628,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055641,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055655,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055669,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055683,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055698,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055710,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055725,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055739,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055752,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055767,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055780,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055795,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055809,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055822,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055836,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055849,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055865,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055878,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055892,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055906,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924055921,none,none,
1712924055934,none,none,
1712924055948,none,none,
1712924055962,none,none,
1712924055976,none,none,
1712924055989,none,none,
1712924056003,none,none,
1712924056018,none,none,
1712924056032,none,none,
1712924056044,none,none,
1712924056060,none,none,
1712924056072,none,none,
1712924056086,none,none,
1712924056101,none,none,
1712924056115,none,none,
1712924056129,none,none,
1712924056143,none,none,
1712924056157,none,none,
1712924056170,none,none,
1712924056185,none,none,
1712924056199,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
