TimeStamp,Event,Interaction
1712846042828,EventSystem,none
1712846042842,EventSystem,none
1712846042855,EventSystem,none
1712846042873,EventSystem,none
1712846042886,EventSystem,none
1712846042897,EventSystem,none
1712846042910,EventSystem,none
1712846042925,EventSystem,none
1712846042939,EventSystem,none
1712846042953,EventSystem,none
1712846042968,EventSystem,none
1712846042984,EventSystem,none
1712846042995,EventSystem,none
1712846043009,EventSystem,none
1712846043023,EventSystem,none
1712846043036,EventSystem,none
1712846043053,EventSystem,none
1712846043065,EventSystem,none
1712846043078,EventSystem,none
1712846043095,EventSystem,none
1712846043106,EventSystem,none
1712846043120,EventSystem,none
1712846043134,EventSystem,none
1712846043148,EventSystem,none
1712846043162,EventSystem,none
1712846043175,EventSystem,none
1712846043191,EventSystem,none
1712846043207,EventSystem,none
1712846043218,EventSystem,none
1712846043232,EventSystem,none
1712846043246,EventSystem,none
1712846043259,EventSystem,none
1712846043273,EventSystem,none
1712846043287,EventSystem,none
1712846043301,EventSystem,none
1712846043320,EventSystem,none
1712846043329,EventSystem,none
1712846043343,EventSystem,none
1712846043360,EventSystem,none
1712846043371,EventSystem,none
1712846043385,EventSystem,none
1712846043399,EventSystem,none
1712846043413,EventSystem,none
1712846043430,EventSystem,none
1712846043441,EventSystem,none
1712846043455,EventSystem,none
1712846043469,EventSystem,none
1712846043482,EventSystem,none
1712846043496,EventSystem,none
1712846043514,EventSystem,none
1712846043527,EventSystem,none
1712846043538,EventSystem,none
1712846043551,EventSystem,none
1712846043566,EventSystem,none
1712846043579,EventSystem,none
1712846043593,EventSystem,none
1712846043607,EventSystem,none
1712846043622,EventSystem,none
1712846043640,EventSystem,none
1712846043649,EventSystem,none
1712846043667,EventSystem,none
1712846043677,EventSystem,none
1712846043691,EventSystem,none
1712846043705,EventSystem,none
1712846043718,EventSystem,none
1712846043733,EventSystem,none
1712846043751,EventSystem,none
1712846043761,EventSystem,none
1712846043775,EventSystem,none
1712846043789,EventSystem,none
1712846043803,EventSystem,none
1712846043819,EventSystem,none
1712846043830,EventSystem,none
1712846043845,EventSystem,none
1712846043862,EventSystem,none
1712846043871,EventSystem,none
1712846043886,EventSystem,none
1712846043900,EventSystem,none
1712846043914,EventSystem,none
1712846043928,EventSystem,none
1712846043942,EventSystem,none
1712846043956,EventSystem,none
1712846043974,EventSystem,none
1712846043983,EventSystem,none
1712846043997,EventSystem,none
1712846044011,EventSystem,none
1712846044025,EventSystem,none
1712846044039,EventSystem,none
1712846044053,EventSystem,none
1712846044067,EventSystem,none
1712846044086,EventSystem,none
1712846044094,EventSystem,none
1712846044109,EventSystem,none
1712846044127,EventSystem,none
1712846044138,EventSystem,none
1712846044150,EventSystem,none
1712846044164,EventSystem,none
1712846044180,EventSystem,none
1712846044196,EventSystem,none
1712846044206,EventSystem,none
1712846044220,EventSystem,none
1712846044234,EventSystem,none
1712846044249,EventSystem,none
1712846044264,EventSystem,none
1712846044279,EventSystem,none
1712846044294,EventSystem,none
1712846044304,EventSystem,none
1712846044318,EventSystem,none
1712846044332,EventSystem,none
1712846044346,EventSystem,none
1712846044360,EventSystem,none
1712846044375,EventSystem,none
1712846044389,EventSystem,none
1712846044406,EventSystem,none
1712846044416,EventSystem,none
1712846044432,EventSystem,none
1712846044443,EventSystem,none
1712846044456,EventSystem,none
1712846044471,EventSystem,none
1712846044485,EventSystem,none
1712846044500,EventSystem,none
1712846044516,EventSystem,none
1712846044526,EventSystem,none
1712846044540,EventSystem,none
1712846044555,EventSystem,none
1712846044569,EventSystem,none
1712846044585,EventSystem,none
1712846044597,EventSystem,none
1712846044611,EventSystem,none
1712846044629,EventSystem,none
1712846044638,EventSystem,none
1712846044652,EventSystem,none
1712846044666,EventSystem,none
1712846044680,EventSystem,none
1712846044695,EventSystem,none
1712846044708,EventSystem,none
1712846044722,EventSystem,none
1712846044739,EventSystem,none
1712846044750,EventSystem,none
1712846044764,EventSystem,none
1712846044777,EventSystem,none
1712846044792,EventSystem,none
1712846044805,EventSystem,none
1712846044819,EventSystem,none
1712846044833,EventSystem,none
1712846044850,EventSystem,none
1712846044861,EventSystem,none
1712846044875,EventSystem,none
1712846044892,EventSystem,none
1712846044902,EventSystem,none
1712846044916,EventSystem,none
1712846044930,EventSystem,none
1712846044945,EventSystem,none
1712846044963,EventSystem,none
1712846044972,EventSystem,none
1712846044986,EventSystem,none
1712846045000,EventSystem,none
1712846045014,EventSystem,none
1712846045028,EventSystem,none
1712846045044,EventSystem,none
1712846045056,EventSystem,none
1712846045073,EventSystem,none
1712846045083,EventSystem,none
